origin,source_code,portal_name,theme,geographic_scope,source_role,connector_candidate,access_mode,official_domain,license_status,priority,planned_prompt,notes
user_csv,EAUFRANCE_PORTAL,Eaufrance,Portail général,France,discovery_portal,catalog_only,metadata_only,unknown,unknown,P0,P01,"Point d’entrée et catalogue ; ne pas traiter le portail comme un dataset unique."
user_csv,HUBEAU_HYDROMETRIE,HydroPortail,"Débits, niveaux, hydrométrie",France,hydrometry_api,connector_candidate,operator_api_bounded,unknown,unknown,P0,P07,"Fenêtre temporelle et géographique obligatoire ; pagination et limites."
user_csv,HUBEAU_ADES,ADES,Eaux souterraines,France,groundwater_api,connector_candidate,operator_api_bounded,unknown,unknown,P0,P07/P08,"Piézométrie puis qualité, avec codes de points officiels."
user_csv,SIGES_NETWORK,SIGES,Hydrogéologie / géologie,France/régions,regional_context_portal,catalog_only,deferred_portal_or_ogc,unknown,unknown,P2,future,"Réseau territorial ; inventorier les services régionaux avant tout connecteur."
user_csv,BRGM_INFOTERRE,InfoTerre — BRGM,"Sous-sol, forages, cartes",France,geology_ogc,connector_candidate,operator_ogc_or_download,unknown,unknown,P2,future,"Utiliser les services officiels et limiter les couches au cas d’usage hydrique."
user_csv,HUBEAU_QUALITE_SURFACE,Naïades,Qualité des cours d’eau et plans d’eau,France,surface_water_quality_api,connector_candidate,operator_api_allowlist,unknown,unknown,P0,P08,"Allowlist de paramètres ; unités et limites de quantification conservées."
user_csv,SANDRE_REFERENTIALS,SANDRE,Référentiels et interopérabilité,France,reference_and_crosswalk,reference_priority,operator_download_or_api,unknown,unknown,P0,P01/P02,"Source d’identifiants et vocabulaires ; aucune jointure par nom si un code existe."
user_csv,HUBEAU_BNPE_PRELEVEMENTS,BNPE,Captages et usages,France,withdrawals_api,connector_candidate,operator_api_bounded,unknown,unknown,P0,P08,"Volumes annuels ; absence de déclaration distincte de zéro."
user_csv,SISPEA_SERVICES,Observatoire national des services d’eau et d’assainissement,Assainissement,France,water_services_indicators,catalog_only,operator_download_or_api,unknown,unknown,P1,future,"Indicateurs de services publics ; à cadrer après le MVP de risque hydrique."
user_csv,IFREMER_SEXTANT,Ifremer — Sextant,Mer et littoral,France/littoral,marine_geodata,catalog_only,deferred_ogc_or_download,unknown,unknown,P2,future,"Module littoral distinct ; ne pas charger dans le MVP continental."
user_csv,DATAGOUV_SIE,data.gouv.fr — SIE,Données ouvertes,France,dataset_discovery,catalog_only,metadata_only,unknown,unknown,P1,P01,"Index de jeux ; la source canonique reste le producteur officiel de chaque dataset."
user_csv,GEORISQUES_GEO,Géoportail / Géorisques,Territoire et risques,France,territorial_hazards,connector_candidate,operator_api_or_ogc_bounded,unknown,unknown,P1,future,"Séparer inondation et autres aléas ; vérifier version et authentification de l’API."
recommended_addition,WRI_AQUEDUCT,WRI Aqueduct,Stress hydrique mondial,Monde,global_structural_screening,connector_candidate,operator_release_download,unknown,unknown,P0,P05,"Priorisation mondiale ; compléter par des sources locales."
recommended_addition,EEA_WEI_PLUS,EEA / WISE / WEI+,Rareté hydrique européenne,Union européenne,eu_basin_scarcity,connector_candidate,operator_release_download,unknown,unknown,P0,P06,"Conserver période saisonnière et identifiants de bassin/sous-unité."
recommended_addition,COPERNICUS_EDO,Copernicus European Drought Observatory,Sécheresse courante,Europe,current_drought_layer,connector_candidate,operator_wms_wcs_snapshot,unknown,unknown,P0,P09,"Snapshot daté ; ne pas appeler le service depuis le navigateur."
recommended_addition,USGS_WATER_DATA,USGS Water Data for the Nation,Hydrologie États-Unis,États-Unis,us_hydrology_api,catalog_only,operator_api_bounded,unknown,unknown,P2,future,"Extension américaine ultérieure, séparée du MVP France/UE/Monde."
